last_name, first_name,player_id,year,meatball_swing_percent,meatball_percent,
Wainwright, Adam,425794,2022,68.6,7.3,
Greinke, Zack,425844,2022,73.8,7.2,
Verlander, Justin,434378,2022,77,7.5,
Sanchez, Anibal,434671,2022,82.9,6.7,
Jansen, Kenley,445276,2022,76.6,9.3,
Chavez, Jesse,445926,2022,77.9,6.4,
Detwiler, Ross,446321,2022,73.7,8.1,
Kluber, Corey,446372,2022,75.3,7.9,
Hill, Rich,448179,2022,71.9,8,
Morton, Charlie,450203,2022,70.8,7.3,
Kennedy, Ian,453178,2022,88.9,7.3,
Bard, Daniel,453268,2022,74,7.7,
Scherzer, Max,453286,2022,78.2,7.8,
Melancon, Mark,453343,2022,81.7,6.8,
Martin, Chris,455119,2022,82.5,6.7,
Price, David,456034,2022,81.1,8.9,
Cueto, Johnny,456501,2022,81,6.2,
Bush, Matt,456713,2022,77.5,7.8,
Lynn, Lance,458681,2022,80.8,7.2,
McGee, Jake,459429,2022,83.7,6.8,
Clippard, Tyler,461325,2022,87.5,7.1,
Chacin, Jhoulys,468504,2022,75.4,8.3,
Carrasco, Carlos,471911,2022,75,6.3,
Garcia, Luis,472610,2022,79.5,7.6,
Phelps, David,475479,2022,67.7,5.6,
Luetge, Lucas,476595,2022,71.1,4.6,
Kershaw, Clayton,477132,2022,78.1,7.9,
Hunter, Tommy,488984,2022,84.4,9.2,
Miley, Wade,489119,2022,72.4,5.2,
Romo, Sergio,489265,2022,83.3,7.2,
Stammen, Craig,489334,2022,72.9,6.8,
Yates, Kirby,489446,2022,66.7,2.2,
Ottavino, Adam,493603,2022,65.9,8.3,
Quintana, Jose,500779,2022,75.5,5.1,
Pineda, Michael,501381,2022,81.2,9.4,
Alvarez, Jose,501625,2022,78.6,5.1,
Smith, Joe,501925,2022,78.1,7.1,
Minor, Mike,501985,2022,74,5.7,
Archer, Chris,502042,2022,78.2,6.9,
Gibson, Kyle,502043,2022,76.5,5.6,
Robertson, David,502085,2022,68,7.1,
Cobb, Alex,502171,2022,68.4,7.1,
Espino, Paolo,502179,2022,76,6.7,
Boxberger, Brad,502202,2022,70.3,8.3,
Anderson, Chase,502624,2022,78.1,6.5,
O'Day, Darren,503285,2022,61.5,6.8,
Peralta, Wily,503449,2022,75.6,6.5,
Darvish, Yu,506433,2022,74.3,9.1,
Colome, Alex,517008,2022,82.8,8,
Alexander, Scott,518397,2022,80,7,
Brasier, Ryan,518489,2022,82,9,
Bumgarner, Madison,518516,2022,79.5,7.6,
Cishek, Steve,518553,2022,65.4,6.6,
Cruz, Fernando,518585,2022,76.5,6.5,
Diekman, Jake,518617,2022,73.5,7.1,
Grimm, Justin,518748,2022,61.1,6.5,
Kelly, Merrill,518876,2022,81.2,6.9,
Kimbrel, Craig,518886,2022,76.8,7.6,
McFarland, T.J.,519008,2022,79.4,7,
Moore, Matt,519043,2022,77.9,7.6,
Pressly, Ryan,519151,2022,73.8,5.9,
Sale, Chris,519242,2022,20,4.9,
Smith, Will,519293,2022,71.4,7.1,
Strickland, Hunter,519326,2022,80.2,8.9,
Hendriks, Liam,521230,2022,81.8,5.8,
Kelly, Joe,523260,2022,58.5,5.8,
Perez, Martin,527048,2022,84,5.2,
Vizcaino, Arodys,527055,2022,80,8.7,
Castellanos, Humberto,528748,2022,83.1,7.9,
Ramirez, Erasmo,541640,2022,76.4,8.7,
Cisnero, Jose,542585,2022,72,5.8,
Anderson, Tyler,542881,2022,76.5,7.6,
Armstrong, Shawn,542888,2022,81,9.6,
Bass, Anthony,542914,2022,77.6,7.7,
Bleier, Richard,542947,2022,81.7,9.2,
Cole, Gerrit,543037,2022,78.7,7.5,
Coulombe, Danny,543056,2022,92.9,6.1,
DeSclafani, Anthony,543101,2022,72.7,6.7,
Eovaldi, Nathan,543135,2022,83.1,8.2,
Gose, Anthony,543238,2022,83.3,6.2,
Gray, Sonny,543243,2022,67.9,7.3,
Hand, Brad,543272,2022,76.8,6.9,
Hendricks, Kyle,543294,2022,72.6,5.4,
Hudson, Daniel,543339,2022,85.7,6.9,
Lyles, Jordan,543475,2022,66.1,7.4,
May, Trevor,543507,2022,73,8,
McHugh, Collin,543521,2022,73.4,7.3,
Milone, Tommy,543548,2022,91.7,5,
Odorizzi, Jake,543606,2022,82.1,6.8,
Shaw, Bryan,543766,2022,83.7,8.9,
Weber, Ryan,543901,2022,53.8,10.2,
Banuelos, Manny,544365,2022,86.1,5,
Familia, Jeurys,544727,2022,66,6.1,
Head, Louis,545343,2022,74.4,7.1,
Poteet, Cody,547001,2022,78.1,7.1,
Lorenzen, Michael,547179,2022,76.4,7.4,
Ryu, Hyun Jin,547943,2022,70.8,6.1,
Chapman, Aroldis,547973,2022,62.3,7.8,
Raley, Brooks,548384,2022,68,5.9,
Stripling, Ross,548389,2022,79.1,7.8,
Kittredge, Andrew,552640,2022,60,6.4,
Garcia, Yimi,554340,2022,72.8,7.8,
Wheeler, Zack,554430,2022,78.3,6.8,
Matzek, Tyler,554431,2022,84,7,
Rodriguez, Joely,570257,2022,41.9,5.1,
Valdez, Phillips,570488,2022,80,3.5,
Urena, Jose,570632,2022,76.1,5.4,
Robles, Hansel,570663,2022,91.1,10.7,
Cessa, Luis,570666,2022,71.4,7.4,
Appel, Mark,571446,2022,71.4,9.4,
Bellatti, Andrew,571479,2022,80,6.7,
Boyd, Matthew,571510,2022,46.7,7.8,
Corbin, Patrick,571578,2022,84.5,7.4,
Farmer, Buck,571656,2022,87.5,5.7,
Floro, Dylan,571670,2022,68.3,7.3,
Givens, Mychal,571710,2022,81.8,9.7,
Heaney, Andrew,571760,2022,83.5,7.9,
Hutchison, Drew,571800,2022,81.2,7.8,
Law, Derek,571882,2022,68.4,5.4,
Loup, Aaron,571901,2022,73.3,6.2,
Matz, Steven,571927,2022,72.2,8.5,
Mikolas, Miles,571945,2022,77.1,7.6,
Miller, Shelby,571946,2022,38.5,10.2,
Milner, Hoby,571948,2022,64.2,4.9,
Richards, Garrett,572070,2022,85.7,7.9,
Selman, Sam,572125,2022,94.1,5.8,
Tepera, Ryan,572193,2022,83.7,4.8,
